Show_id,Type,Title,Director,Cast,Country,Date_added,Release_year,Rating,Duration,Listed_in,Description,Data_Quality_notes
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,unknown,United States,"September 25, 2021",2020,PG-13,90 min,Documentaries,As her father nears the end of his life filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable,missing values replaced unknown
s2,Tv Show,Blood  Water,unknown,AmaQamataKhosiNgemaGailMabalaneThabangMolabaDillonWindvogelNatashaThahaneArnoGreeffXolileTshabalalaGetmoreSitholeCindyMahlanguRyleDeMornyGreteliFinchamSelloMaakeKaNcubeOdwaGwanyaMekailaMathysSandiSchultzDuaneWilliamsShamillaMillerPatrickMofokeng,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",After crossing paths at a party a Cape Town teen sets out to prove whether a privateschool swimming star is her sister who was abducted at birth,special characters removed from sentences
s3,Tv Show,Ganglands,Julien Leclercq,SamiBouajilaTracyGotoasSamuelJouyNabihaAkkariSofiaLesaffreSalimKechioucheNoureddineFarihiGeertVanRampelbergBakaryDiombera,unknown,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",To protect his family from a powerful drug lord skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war,duplicate values removed
s4,Tv Show,Jailbirds New Orleans,unknown,unknown,unknown,"September 24, 2021",2021,TV-MA,1 Season,"Docuseries, Reality TV",Feuds flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series,proper column width for each column
s5,Tv Show,Kota Factory,unknown,MayurMoreJitendraKumarRanjanRajAlamKhanAhsaasChannaRevathiPillaiUrviSinghArunKumar,India,"September 24, 2021",2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",In a city of coaching centers known to train Indias finest collegiate minds an earnest but unexceptional student and his friends navigate campus life,filters for easy access
s6,Tv Show,Midnight Mass,Mike Flanagan,KateSiegelZachGilfordHamishLinklaterHenryThomasKristinLehmanSamanthaSloyanIgbyRigneyRahulKohliAnnarahCymoneAnnabethGishAlexEssoeRahulAbburiMattBiedelMichaelTruccoCrystalBalintLouisOliver,unknown,"September 24, 2021",2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",The arrival of a charismatic young priest brings glorious miracles ominous mysteries and renewed religious fervor to a dying town desperate to believe,
s7,Movie,My Little Pony A New Generation,Robert Cullen Jos Luis Ucha,VanessaHudgensKimikoGlennJamesMarsdenSofiaCarsonLizaKoshyKenJeongElizabethPerkinsJaneKrakowskiMichaelMcKeanPhilLaMarr,unknown,"September 24, 2021",2021,PG,91 min,Children & Family Movies,Equestrias divided But a brighteyed hero believes Earth Ponies Pegasi and Unicorns should be pals  and hoof to heart shes determined to prove it,
s8,Movie,Sankofa,Haile Gerima,KofiGhanabaOyafunmikeOgunlanoAlexandraDuahNickMedleyMutabarukaAfemoOmilamiReggieCarterMzuri,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",On a photo shoot in Ghana an American model slips back in time becomes enslaved on a plantation and bears witness to the agony of her ancestral past,
s9,Tv Show,The Great British Baking Show,Andy Devonshire,MelGiedroycSuePerkinsMaryBerryPaulHollywood,United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons,"British TV Shows, Reality TV",A talented batch of amateur bakers face off in a 10week competition whipping up their best dishes in the hopes of being named the UKs best,
s10,Movie,The Starling,Theodore Melfi,MelissaMcCarthyChrisODowdKevinKlineTimothyOlyphantDaveedDiggsSkylerGisondoLauraHarrierRosalindChaoKimberlyQuinnLorettaDevineRaviKapoor,United States,"September 24, 2021",2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird thats taken over her garden  and a husband whos struggling to find a way forward,
s11,Tv Show,Vendetta Truth Lies and The Mafia,unknown,unknown,unknown,"September 24, 2021",2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Sicily boasts a bold AntiMafia coalition But what happens when those trying to bring down organized crime are accused of being criminals themselves,
s12,Tv Show,Bangkok Breaking,Kongkiat Komesiri,SukollawatKanarotSusharManayingPavaritMongkolpisitSahajakBoonthanakitSuthipongseThatphithakkulBhasawornBawronkiratiDaweeritChullasapyaWaratthayaWongchayapornKittiphoomWongpentakAbhichaThanachanunNophandBoonyaiKittipongKhamsatArisaraWongchaleeJaytiyaNaiwattanakulPantipaArunwattanachaiPanupanJantanawongKungtapSaelimPhumphatChartsuriyakiatIssaraVeranitinuntKeeratiSivakuaePanjaiSirisuwanSupraneeCharoenpolSudaChuenbanVisakaBanhansupavatPitchatornSantinatornkul,unknown,"September 23, 2021",2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Struggling to earn a living in Bangkok a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy,
s13,Movie,Je Suis Karl,Christian Schwochow,LunaWedlerJannisNiewhnerMilanPeschelEdinHasanoviAnnaFialovMarlonBoessVictorBoccardFleurGeffrierAzizDyabMlanieFouchElizavetaMaximov,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min,"Dramas, International Movies",After most of her family is murdered in a terrorist bombing a young woman is unknowingly lured into joining the very group that killed them,
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,KlaraCastanhoLuccaPiconJliaGomesMarcusBessaKiriaMalheirosFernandaConconGabrielLimaCaioCabralLeonardoCidadeJadeCardozo,unknown,"September 22, 2021",2021,TV-PG,91 min,"Children & Family Movies, Comedies",When the clever but sociallyawkward Tet joins a new school shell do anything to fit in But the queen bee among her classmates has other ideas,
s15,Tv Show,Crime Stories India Detectives,unknown,unknown,unknown,"September 22, 2021",2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations,
s16,Tv Show,Dear White People,unknown,LoganBrowningBrandonPBellDeRonHortonAntoinetteRobertsonJohnPatrickAmedoriAshleyBlaineFeathersonMarqueRichardsonGiancarloEsposito,United States,"September 22, 2021",2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",Students of color navigate the daily slights and slippery politics of life at an Ivy League college thats not nearly as postracial as it thinks,
s17,Movie,Europes Most Dangerous Man Otto Skorzeny in Spain,Pedro de Echave Garca Pablo Azorn Williams,unknown,unknown,"September 22, 2021",2020,TV-MA,67 min,"Documentaries, International Movies",Declassified documents reveal the postWWII life of Otto Skorzeny a close Hitler ally who escaped to Spain and became an adviser to world presidents,
s18,Tv Show,Falsa identidad,unknown,LuisErnestoFrancoCamilaSodiSergioGoyriSamadhiZendejasEduardoYezSonyaSmithAlejandroCamachoAzelaRobinsonUrieldelToroGraldineBaznGabrielaRoelMarcusOrnellas,Mexico,"September 22, 2021",2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drugdealing enemies and her abusive husband,
s19,Movie,Intrusion,Adam Salky,FreidaPintoLoganMarshallGreenRobertJohnBurkeMeganElisabethKellySarahMinnichHayesHargroveMarkSivertsenBrandonFierroAntonioVallesClintObenchain,unknown,"September 22, 2021",2021,TV-14,94 min,Thrillers,After a deadly home invasion at a couples new dream house the traumatized wife searches for answers  and learns the real danger is just beginning,
s20,Tv Show,Jaguar,unknown,BlancaSurezIvnMarcosscarCasasAdrinLastraFrancescGarridoStefanWeinertJuliaMllerAliciaChojnowski,unknown,"September 22, 2021",2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",In the 1960s a Holocaust survivor joins a group of selftrained spies who seek justice against Nazis fleeing to Spain to hide after WWII,
s21,Tv Show,Monsters Inside The 24 Faces of Billy Milligan,Olivier Megaton,unknown,unknown,"September 22, 2021",2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",In the late 1970s an accused serial rapist claims multiple personalities control his behavior setting off a legal odyssey that captivates America,
